   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.05900    0.841    0.069    0.022    0.039   -0.047
 0.05950    0.840    0.069    0.021    0.040   -0.048
 0.06000    0.839    0.070    0.022    0.040   -0.048
 0.06050    0.838    0.071    0.023    0.039   -0.048
 0.06100    0.837    0.072    0.023    0.040   -0.049
 0.06150    0.836    0.072    0.023    0.040   -0.049
 0.06200    0.835    0.073    0.023    0.040   -0.050
 0.06250    0.834    0.073    0.023    0.040   -0.050
 0.06300    0.832    0.074    0.024    0.040   -0.050
 0.06350    0.831    0.075    0.024    0.040   -0.051
 0.06400    0.830    0.075    0.024    0.041   -0.051
 0.06450    0.829    0.076    0.024    0.040   -0.052
 0.06500    0.828    0.076    0.024    0.040   -0.052
 0.06550    0.826    0.077    0.024    0.041   -0.053
 0.06600    0.825    0.078    0.025    0.041   -0.053
 0.06650    0.824    0.078    0.025    0.041   -0.053
 0.06700    0.823    0.079    0.025    0.041   -0.054
 0.06750    0.822    0.079    0.025    0.041   -0.054
 0.06800    0.821    0.080    0.025    0.041   -0.055
 0.06850    0.820    0.081    0.026    0.042   -0.055
 0.06900    0.819    0.081    0.025    0.042   -0.056
 0.06950    0.817    0.082    0.026    0.042   -0.056
 0.07000    0.816    0.083    0.026    0.042   -0.057
 0.07050    0.815    0.083    0.026    0.042   -0.057
 0.07100    0.814    0.084    0.027    0.042   -0.057
 0.07150    0.813    0.084    0.026    0.042   -0.058
 0.07200    0.812    0.085    0.027    0.042   -0.058
 0.07250    0.811    0.086    0.027    0.042   -0.059
 0.07300    0.810    0.086    0.027    0.042   -0.059
 0.07350    0.809    0.087    0.028    0.042   -0.059
 0.07400    0.807    0.088    0.028    0.042   -0.060
 0.07450    0.806    0.088    0.028    0.042   -0.060
 0.07500    0.805    0.089    0.028    0.042   -0.061
 0.07550    0.804    0.090    0.029    0.042   -0.061
 0.07600    0.803    0.090    0.028    0.042   -0.062
 0.07650    0.802    0.091    0.029    0.042   -0.062
 0.07700    0.801    0.091    0.029    0.042   -0.062
 0.07750    0.800    0.092    0.029    0.042   -0.063
 0.07800    0.799    0.093    0.030    0.042   -0.063
 0.07850    0.798    0.093    0.029    0.042   -0.064
 0.07900    0.797    0.094    0.030    0.041   -0.064
 0.07950    0.795    0.095    0.030    0.042   -0.065
 0.08000    0.794    0.095    0.030    0.042   -0.065
 0.08050    0.793    0.095    0.030    0.041   -0.065
 0.08100    0.792    0.096    0.030    0.041   -0.066
 0.08150    0.791    0.097    0.031    0.041   -0.066
 0.08200    0.790    0.098    0.032    0.040   -0.066
 0.08250    0.789    0.098    0.032    0.040   -0.066
 0.08300    0.788    0.100    0.032    0.040   -0.068
 0.08350    0.787    0.100    0.032    0.040   -0.068
 0.08400    0.786    0.099    0.032    0.040   -0.067
 0.08450    0.785    0.101    0.033    0.040   -0.068
 0.08500    0.784    0.101    0.033    0.040   -0.068
 0.08550    0.783    0.102    0.032    0.040   -0.070
 0.08600    0.782    0.103    0.034    0.040   -0.069
 0.08650    0.781    0.104    0.034    0.039   -0.070
 0.08700    0.780    0.104    0.034    0.039   -0.070
 0.08750    0.779    0.104    0.034    0.039   -0.070
 0.08800    0.778    0.105    0.034    0.039   -0.071
 0.08850    0.777    0.106    0.035    0.039   -0.071
 0.08900    0.776    0.107    0.035    0.038   -0.072
 0.08950    0.775    0.107    0.035    0.039   -0.072
 0.09000    0.774    0.108    0.035    0.039   -0.073
 0.09050    0.773    0.108    0.036    0.038   -0.072
 0.09100    0.772    0.109    0.036    0.038   -0.073
 0.09150    0.771    0.110    0.037    0.037   -0.073
 0.09200    0.770    0.111    0.037    0.037   -0.074
 0.09250    0.769    0.111    0.037    0.037   -0.074
 0.09300    0.768    0.112    0.037    0.037   -0.075
 0.09350    0.767    0.113    0.038    0.036   -0.075
 0.09400    0.766    0.113    0.038    0.036   -0.075
 0.09450    0.765    0.114    0.038    0.035   -0.076
 0.09500    0.764    0.114    0.038    0.035   -0.076
 0.09550    0.763    0.115    0.038    0.035   -0.077
 0.09600    0.762    0.116    0.039    0.035   -0.077
 0.09650    0.761    0.116    0.039    0.035   -0.077
 0.09700    0.760    0.117    0.039    0.034   -0.078
 0.09750    0.759    0.118    0.040    0.034   -0.078
 0.09800    0.758    0.118    0.039    0.034   -0.079
 0.09850    0.757    0.119    0.040    0.034   -0.079
