   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.05500    0.858    0.033   -0.021   -0.147   -0.054
 0.05550    0.857    0.033   -0.022   -0.147   -0.055
 0.05600    0.856    0.034   -0.021   -0.149   -0.055
 0.05650    0.855    0.034   -0.022   -0.150   -0.056
 0.05700    0.853    0.035   -0.022   -0.150   -0.057
 0.05750    0.852    0.035   -0.022   -0.152   -0.057
 0.05800    0.851    0.035   -0.024   -0.151   -0.059
 0.05850    0.850    0.036   -0.024   -0.152   -0.060
 0.05900    0.849    0.036   -0.025   -0.153   -0.061
 0.05950    0.848    0.037   -0.023   -0.155   -0.060
 0.06000    0.847    0.037   -0.025   -0.155   -0.062
 0.06050    0.846    0.038   -0.024   -0.155   -0.062
 0.06100    0.845    0.038   -0.024   -0.157   -0.062
 0.06150    0.843    0.038   -0.025   -0.158   -0.063
 0.06200    0.842    0.039   -0.027   -0.157   -0.066
 0.06250    0.841    0.039   -0.027   -0.158   -0.066
 0.06300    0.840    0.040   -0.026   -0.160   -0.066
 0.06350    0.839    0.041   -0.027   -0.160   -0.068
 0.06400    0.838    0.041   -0.028   -0.161   -0.069
 0.06450    0.837    0.041   -0.028   -0.162   -0.069
 0.06500    0.836    0.042   -0.027   -0.163   -0.069
 0.06550    0.835    0.042   -0.029   -0.164   -0.071
 0.06600    0.834    0.043   -0.029   -0.164   -0.072
 0.06650    0.833    0.043   -0.029   -0.165   -0.072
 0.06700    0.831    0.043   -0.031   -0.165   -0.074
 0.06750    0.831    0.044   -0.031   -0.166   -0.075
 0.06800    0.829    0.045   -0.030   -0.167   -0.075
 0.06850    0.828    0.045   -0.030   -0.168   -0.075
 0.06900    0.827    0.045   -0.032   -0.169   -0.077
 0.06950    0.826    0.046   -0.031   -0.170   -0.077
 0.07000    0.825    0.046   -0.031   -0.171   -0.077
 0.07050    0.824    0.047   -0.032   -0.171   -0.079
 0.07100    0.823    0.047   -0.034   -0.171   -0.081
 0.07150    0.822    0.048   -0.033   -0.173   -0.081
 0.07200    0.821    0.048   -0.033   -0.174   -0.081
 0.07250    0.820    0.049   -0.033   -0.175   -0.082
 0.07300    0.819    0.049   -0.033   -0.176   -0.082
 0.07350    0.818    0.050   -0.033   -0.177   -0.083
 0.07400    0.817    0.050   -0.034   -0.178   -0.084
 0.07450    0.816    0.051   -0.035   -0.177   -0.086
 0.07500    0.815    0.051   -0.034   -0.179   -0.085
 0.07550    0.814    0.052   -0.034   -0.180   -0.086
 0.07600    0.813    0.052   -0.035   -0.181   -0.087
 0.07650    0.812    0.053   -0.035   -0.182   -0.088
 0.07700    0.811    0.053   -0.035   -0.183   -0.088
 0.07750    0.810    0.054   -0.034   -0.184   -0.088
 0.07800    0.809    0.054   -0.036   -0.184   -0.090
 0.07850    0.808    0.055   -0.036   -0.185   -0.091
 0.07900    0.807    0.055   -0.036   -0.186   -0.091
 0.07950    0.806    0.056   -0.035   -0.187   -0.091
 0.08000    0.805    0.056   -0.036   -0.189   -0.092
 0.08050    0.804    0.056   -0.037   -0.189   -0.093
 0.08100    0.803    0.057   -0.036   -0.190   -0.093
 0.08150    0.802    0.058   -0.036   -0.191   -0.094
 0.08200    0.801    0.058   -0.036   -0.192   -0.094
 0.08250    0.800    0.059   -0.037   -0.192   -0.096
 0.08300    0.799    0.060   -0.037   -0.194   -0.097
 0.08350    0.798    0.060   -0.037   -0.195   -0.097
 0.08400    0.797    0.060   -0.036   -0.196   -0.096
 0.08450    0.796    0.061   -0.037   -0.196   -0.098
 0.08500    0.795    0.061   -0.038   -0.197   -0.099
 0.08550    0.794    0.062   -0.038   -0.198   -0.100
 0.08600    0.793    0.062   -0.037   -0.199   -0.099
 0.08650    0.793    0.063   -0.038   -0.200   -0.101
 0.08700    0.792    0.063   -0.038   -0.201   -0.101
 0.08750    0.791    0.064   -0.038   -0.202   -0.102
 0.08800    0.790    0.065   -0.038   -0.202   -0.103
 0.08850    0.789    0.065   -0.038   -0.203   -0.103
 0.08900    0.788    0.066   -0.038   -0.204   -0.104
 0.08950    0.787    0.066   -0.038   -0.205   -0.104
 0.09000    0.786    0.067   -0.038   -0.206   -0.105
 0.09050    0.785    0.067   -0.037   -0.208   -0.104
 0.09100    0.784    0.068   -0.039   -0.208   -0.107
 0.09150    0.783    0.068   -0.040   -0.208   -0.108
 0.09200    0.782    0.069   -0.039   -0.210   -0.108
 0.09250    0.781    0.069   -0.039   -0.211   -0.108
 0.09300    0.780    0.070   -0.039   -0.212   -0.109
 0.09350    0.779    0.071   -0.039   -0.213   -0.110
 0.09400    0.778    0.071   -0.039   -0.214   -0.110
 0.09450    0.777    0.072   -0.039   -0.215   -0.111
 0.09500    0.776    0.072   -0.040   -0.215   -0.112
 0.09550    0.776    0.073   -0.040   -0.215   -0.113
 0.09600    0.775    0.073   -0.040   -0.217   -0.113
 0.09650    0.774    0.074   -0.040   -0.218   -0.114
 0.09700    0.773    0.074   -0.041   -0.218   -0.115
