   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.05500    0.860    0.067   -0.023   -0.127   -0.090
 0.05550    0.858    0.068   -0.023   -0.127   -0.091
 0.05600    0.857    0.068   -0.023   -0.128   -0.091
 0.05650    0.856    0.070   -0.022   -0.129   -0.092
 0.05700    0.855    0.070   -0.023   -0.130   -0.093
 0.05750    0.854    0.070   -0.023   -0.131   -0.093
 0.05800    0.853    0.071   -0.025   -0.131   -0.096
 0.05850    0.852    0.072   -0.025   -0.132   -0.097
 0.05900    0.850    0.072   -0.025   -0.133   -0.097
 0.05950    0.850    0.073   -0.024   -0.134   -0.097
 0.06000    0.849    0.074   -0.025   -0.135   -0.099
 0.06050    0.847    0.074   -0.026   -0.135   -0.100
 0.06100    0.846    0.076   -0.024   -0.137   -0.100
 0.06150    0.845    0.076   -0.025   -0.137   -0.101
 0.06200    0.844    0.077   -0.026   -0.137   -0.103
 0.06250    0.843    0.077   -0.026   -0.139   -0.103
 0.06300    0.842    0.078   -0.025   -0.140   -0.103
 0.06350    0.841    0.079   -0.026   -0.140   -0.105
 0.06400    0.839    0.079   -0.027   -0.141   -0.106
 0.06450    0.839    0.080   -0.026   -0.142   -0.106
 0.06500    0.837    0.080   -0.027   -0.143   -0.107
 0.06550    0.836    0.081   -0.027   -0.144   -0.108
 0.06600    0.835    0.082   -0.027   -0.144   -0.109
 0.06650    0.834    0.082   -0.028   -0.145   -0.110
 0.06700    0.833    0.083   -0.028   -0.146   -0.111
 0.06750    0.832    0.084   -0.028   -0.146   -0.112
 0.06800    0.831    0.085   -0.028   -0.148   -0.113
 0.06850    0.830    0.085   -0.028   -0.149   -0.113
 0.06900    0.829    0.086   -0.028   -0.149   -0.114
 0.06950    0.828    0.086   -0.029   -0.151   -0.115
 0.07000    0.827    0.087   -0.028   -0.152   -0.115
 0.07050    0.826    0.088   -0.029   -0.152   -0.117
 0.07100    0.825    0.088   -0.030   -0.152   -0.118
 0.07150    0.823    0.089   -0.030   -0.154   -0.119
 0.07200    0.823    0.090   -0.029   -0.155   -0.119
 0.07250    0.822    0.090   -0.030   -0.155   -0.120
 0.07300    0.820    0.091   -0.030   -0.156   -0.121
 0.07350    0.820    0.092   -0.029   -0.158   -0.121
 0.07400    0.819    0.093   -0.029   -0.158   -0.122
 0.07450    0.818    0.093   -0.031   -0.158   -0.124
 0.07500    0.817    0.094   -0.030   -0.160   -0.124
 0.07550    0.816    0.095   -0.030   -0.160   -0.125
 0.07600    0.814    0.095   -0.030   -0.162   -0.125
 0.07650    0.814    0.096   -0.030   -0.162   -0.126
 0.07700    0.813    0.097   -0.030   -0.164   -0.127
 0.07750    0.811    0.097   -0.030   -0.165   -0.127
 0.07800    0.811    0.098   -0.031   -0.165   -0.129
 0.07850    0.809    0.099   -0.031   -0.166   -0.130
 0.07900    0.808    0.099   -0.031   -0.166   -0.130
 0.07950    0.808    0.100   -0.031   -0.168   -0.131
 0.08000    0.806    0.101   -0.030   -0.169   -0.131
 0.08050    0.805    0.101   -0.031   -0.170   -0.132
 0.08100    0.805    0.102   -0.031   -0.171   -0.133
 0.08150    0.803    0.103   -0.030   -0.172   -0.133
 0.08200    0.802    0.103   -0.031   -0.173   -0.134
 0.08250    0.802    0.104   -0.031   -0.173   -0.135
 0.08300    0.801    0.106   -0.030   -0.175   -0.136
 0.08350    0.800    0.106   -0.030   -0.176   -0.136
 0.08400    0.799    0.106   -0.030   -0.177   -0.136
 0.08450    0.798    0.107   -0.031   -0.177   -0.138
 0.08500    0.797    0.107   -0.031   -0.178   -0.138
 0.08550    0.796    0.109   -0.030   -0.179   -0.139
 0.08600    0.795    0.109   -0.030   -0.180   -0.139
 0.08650    0.794    0.110   -0.031   -0.181   -0.141
 0.08700    0.793    0.110   -0.031   -0.182   -0.141
 0.08750    0.792    0.111   -0.031   -0.183   -0.142
 0.08800    0.791    0.112   -0.031   -0.184   -0.143
 0.08850    0.790    0.113   -0.030   -0.184   -0.143
 0.08900    0.789    0.113   -0.031   -0.185   -0.144
 0.08950    0.788    0.114   -0.030   -0.187   -0.144
 0.09000    0.787    0.115   -0.030   -0.188   -0.145
 0.09050    0.786    0.115   -0.030   -0.190   -0.145
 0.09100    0.785    0.116   -0.031   -0.189   -0.147
 0.09150    0.785    0.117   -0.030   -0.190   -0.147
 0.09200    0.783    0.117   -0.031   -0.191   -0.148
 0.09250    0.782    0.118   -0.030   -0.193   -0.148
 0.09300    0.782    0.119   -0.030   -0.194   -0.149
 0.09350    0.780    0.120   -0.030   -0.195   -0.150
 0.09400    0.780    0.120   -0.030   -0.196   -0.150
 0.09450    0.779    0.121   -0.030   -0.197   -0.151
 0.09500    0.778    0.121   -0.031   -0.197   -0.152
 0.09550    0.777    0.122   -0.031   -0.198   -0.153
 0.09600    0.776    0.123   -0.030   -0.200   -0.153
 0.09650    0.775    0.123   -0.030   -0.200   -0.153
 0.09700    0.774    0.124   -0.030   -0.201   -0.154
 0.09750    0.773    0.125   -0.029   -0.203   -0.154
 0.09800    0.772    0.126   -0.029   -0.204   -0.155
 0.09850    0.771    0.126   -0.030   -0.204   -0.156
 0.09900    0.770    0.127   -0.030   -0.204   -0.157
 0.09950    0.769    0.128   -0.029   -0.206   -0.157
 0.10000    0.769    0.128   -0.029   -0.207   -0.157
 0.10050    0.768    0.129   -0.030   -0.207   -0.159
 0.10100    0.767    0.130   -0.029   -0.208   -0.159
 0.10150    0.766    0.131   -0.028   -0.210   -0.159
 0.10200    0.765    0.131   -0.029   -0.211   -0.160
